x	wf1	wf2	wf3
-29.9707	1.48494e-25	2.208705e-25	3.957662e-21
-29.94141	1.382622e-26	7.536999e-26	3.949698e-21
-29.91211	3.196674e-25	1.041476e-25	4.014133e-21
-29.88281	1.327665e-25	1.040138e-26	3.988972e-21
-29.85352	7.062366e-26	6.478643e-26	3.990263e-21
-29.82422	4.468764e-25	5.409421e-26	4.085625e-21
-29.79492	2.844282e-26	1.541643e-25	4.041664e-21
-29.76562	9.422436e-26	9.079912e-26	4.082276e-21
-29.73633	7.301105e-27	8.091208e-26	4.086679e-21
-29.70703	3.140652e-26	2.263771e-25	4.087817e-21
-29.67773	2.880901e-25	2.734547e-26	4.137174e-21
-29.64844	4.620808e-25	1.8956e-25	4.073587e-21
-29.61914	2.294884e-25	1.146681e-25	4.14965e-21
-29.58984	3.211208e-25	1.970655e-25	4.185913e-21
-29.56055	5.111133e-25	2.555277e-25	4.114072e-21
-29.53125	5.715697e-25	7.623824e-25	4.205916e-21
-29.50195	4.721625e-25	7.999444e-26	4.156433e-21
-29.47266	1.891803e-25	2.243387e-25	4.181592e-21
-29.44336	1.862525e-26	8.706204e-26	4.212235e-21
-29.41406	2.593084e-26	4.816529e-25	4.278144e-21
-29.38477	1.811551e-25	1.694182e-25	4.22939e-21
-29.35547	2.760786e-26	3.809063e-25	4.260958e-21
-29.32617	5.629514e-26	8.059163e-25	4.192016e-21
-29.29688	3.515494e-25	2.308875e-25	4.324072e-21
-29.26758	2.592962e-25	3.907063e-25	4.216421e-21
-29.23828	2.459312e-25	5.938407e-25	4.381983e-21
-29.20898	2.667711e-26	2.862875e-25	4.246686e-21
-29.17969	1.021769e-25	1.402818e-25	4.329804e-21
-29.15039	3.039836e-26	3.035443e-25	4.273277e-21
-29.12109	2.837746e-25	2.604851e-25	4.476248e-21
-29.0918	2.061257e-25	4.539583e-25	4.328408e-21
-29.0625	1.168406e-25	6.344395e-25	4.418086e-21
-29.0332	1.589937e-25	4.648156e-25	4.376526e-21
-29.00391	1.18208e-25	9.01845e-25	4.38241e-21
-28.97461	1.485647e-26	1.980643e-25	4.409078e-21
-28.94531	1.627825e-25	5.314009e-25	4.432889e-21
-28.91602	1.552823e-24	1.389912e-25	4.474037e-21
-28.88672	4.555802e-25	7.622299e-25	4.447489e-21
-28.85742	3.661767e-25	3.716392e-25	4.501741e-21
-28.82812	1.785115e-25	6.289835e-26	4.511805e-21
-28.79883	1.228044e-25	1.250841e-24	4.452789e-21
-28.76953	1.572246e-25	7.882894e-25	4.585907e-21
-28.74023	4.481541e-25	8.043851e-25	4.436046e-21
-28.71094	4.077177e-25	9.71853e-25	4.583823e-21
-28.68164	2.121897e-24	1.842028e-24	4.505397e-21
-28.65234	1.661959e-24	1.415576e-24	4.617978e-21
-28.62305	1.506858e-24	1.591952e-24	4.60633e-21
-28.59375	1.914855e-24	1.104113e-24	4.600384e-21
-28.56445	3.013536e-24	1.214003e-24	4.667107e-21
-28.53516	1.246425e-24	5.911695e-25	4.69098e-21
-28.50586	8.352334e-25	8.015017e-25	4.647701e-21
-28.47656	1.519892e-24	4.132701e-25	4.642481e-21
-28.44727	6.823687e-25	2.513872e-25	4.692267e-21
-28.41797	5.15082e-25	1.304371e-25	4.709999e-21
-28.38867	6.933064e-25	3.180236e-25	4.750356e-21
-28.35938	6.420679e-25	9.824042e-27	4.728782e-21
-28.33008	9.080137e-25	2.966741e-25	4.669222e-21
-28.30078	8.73092e-25	1.455609e-25	4.795381e-21
-28.27148	1.427551e-24	6.703738e-25	4.754312e-21
-28.24219	8.622822e-25	5.120252e-25	4.783415e-21
-28.21289	6.603409e-25	1.475596e-24	4.822803e-21
-28.18359	5.143189e-25	3.675257e-25	4.922763e-21
-28.1543	2.370707e-25	1.612789e-25	4.733862e-21
-28.125	2.254742e-25	7.443783e-25	4.937961e-21
-28.0957	1.697732e-25	4.513736e-25	4.82318e-21
-28.06641	5.930903e-27	1.392614e-25	4.894924e-21
-28.03711	1.73809e-25	3.43859e-25	4.973169e-21
-28.00781	4.126098e-25	6.302254e-26	4.964746e-21
-27.97852	6.611458e-25	5.027971e-25	4.799353e-21
-27.94922	7.217042e-25	1.878663e-24	5.185597e-21
-27.91992	1.421985e-25	2.037272e-24	4.832547e-21
-27.89062	7.718974e-25	1.407599e-24	4.917533e-21
-27.86133	2.259329e-24	2.183298e-24	5.339489e-21
-27.83203	3.144e-24	5.853625e-26	4.788521e-21
-27.80273	3.645977e-24	1.955851e-25	4.844407e-21
-27.77344	2.739873e-24	8.157295e-24	6.176298e-21
-27.74414	3.563784e-24	2.762885e-23	3.704889e-21
-27.71484	1.316756e-23	6.402323e-23	6.371171e-21
-27.68555	3.942486e-23	1.157441e-22	5.158009e-21
-27.65625	1.017043e-22	1.164904e-22	4.095661e-21
-27.62695	2.227528e-22	8.110993e-23	6.639835e-21
-27.59766	3.95572e-22	5.977558e-23	7.811983e-21
-27.56836	5.8309e-22	4.481734e-22	2.910996e-21
-27.53906	1.060549e-21	2.047918e-21	2.333591e-20
-27.50977	2.523915e-21	5.773536e-21	6.240201e-22
-27.48047	6.687673e-21	1.18573e-20	2.617678e-20
-27.45117	1.593008e-20	1.891836e-20	1.166571e-21
-27.42188	3.316637e-20	2.456626e-20	1.182287e-20
-27.39258	6.092402e-20	3.206806e-20	3.886172e-20
-27.36328	1.055014e-19	6.429019e-20	2.213643e-19
-27.33398	1.888941e-19	1.859004e-19	4.229093e-19
-27.30469	3.787172e-19	5.156807e-19	1.130866e-18
-27.27539	8.331458e-19	1.216317e-18	1.410661e-18
-27.24609	1.853551e-18	2.427347e-18	2.222728e-18
-27.2168	3.92216e-18	4.225011e-18	1.972072e-18
-27.1875	7.733591e-18	6.755188e-18	3.202578e-18
-27.1582	1.436176e-17	1.094017e-17	7.502042e-18
-27.12891	2.596005e-17	2.018883e-17	2.499958e-17
-27.09961	4.765114e-17	4.349099e-17	6.566001e-17
-27.07031	9.166592e-17	9.931011e-17	1.526466e-16
-27.04102	1.845199e-16	2.191711e-16	2.915629e-16
-27.01172	3.77505e-16	4.488589e-16	5.037025e-16
-26.98242	7.604296e-16	8.488544e-16	7.691918e-16
-26.95312	1.48056e-15	1.504288e-15	1.157524e-15
-26.92383	2.77738e-15	2.574958e-15	1.8478e-15
-26.89453	5.066523e-15	4.445265e-15	3.543558e-15
-26.86523	9.145748e-15	8.062287e-15	7.743489e-15
-26.83594	1.665353e-14	1.556447e-14	1.754629e-14
-26.80664	3.097447e-14	3.127354e-14	3.789474e-14
-26.77734	5.883535e-14	6.304724e-14	7.634251e-14
-26.74805	1.12858e-13	1.239433e-13	1.42385e-13
-26.71875	2.154048e-13	2.343097e-13	2.488075e-13
-26.68945	4.043395e-13	4.252135e-13	4.1344e-13
-26.66016	7.42352e-13	7.461644e-13	6.726798e-13
-26.63086	1.334018e-12	1.284125e-12	1.109384e-12
-26.60156	2.359946e-12	2.207323e-12	1.921452e-12
-26.57227	4.146454e-12	3.856401e-12	3.538251e-12
-26.54297	7.302929e-12	6.915403e-12	6.823288e-12
-26.51367	1.297755e-11	1.270404e-11	1.335601e-11
-26.48438	2.330402e-11	2.363771e-11	2.582546e-11
-26.45508	4.213696e-11	4.390501e-11	4.849161e-11
-26.42578	7.620563e-11	8.04263e-11	8.778991e-11
-26.39648	1.368718e-10	1.442172e-10	1.531399e-10
-26.36719	2.42804e-10	2.524602e-10	2.585047e-10
-26.33789	4.24172e-10	4.320133e-10	4.256306e-10
-26.30859	7.295822e-10	7.25942e-10	6.913708e-10
-26.2793	1.238178e-09	1.206194e-09	1.12285e-09
-26.25	2.081448e-09	1.998012e-09	1.847418e-09
-26.2207	3.482731e-09	3.325313e-09	3.106937e-09
-26.19141	5.827586e-09	5.591193e-09	5.350833e-09
-26.16211	9.785408e-09	9.513783e-09	9.385087e-09
-26.13281	1.651214e-08	1.634468e-08	1.659948e-08
-26.10352	2.797563e-08	2.820481e-08	2.929624e-08
-26.07422	4.745948e-08	4.858101e-08	5.114903e-08
-26.04492	8.03192e-08	8.303808e-08	8.782458e-08
-26.01562	1.350897e-07	1.402209e-07	1.478228e-07
-25.98633	2.250844e-07	2.332612e-07	2.436315e-07
-25.95703	3.707004e-07	3.817857e-07	3.934018e-07
-25.92773	6.027799e-07	6.148842e-07	6.235362e-07
-25.89844	9.676297e-07	9.756904e-07	9.729515e-07
-25.86914	1.53473e-06	1.528737e-06	1.500349e-06
-25.83984	2.40889e-06	2.37207e-06	2.296778e-06
-25.81055	3.749744e-06	3.657375e-06	3.507121e-06
-25.78125	5.803192e-06	5.623208e-06	5.366124e-06
-25.75195	8.951855e-06	8.649006e-06	8.257157e-06
-25.72266	1.379498e-05	1.334096e-05	1.280534e-05
-25.69336	2.127261e-05	2.066513e-05	2.002076e-05
-25.66406	3.285439e-05	3.214846e-05	3.151231e-05
-25.63477	5.081966e-05	5.017422e-05	4.979809e-05
-25.60547	7.866307e-05	7.840475e-05	7.874372e-05
-25.57617	0.000121667	0.0001223709	0.0001241649
-25.54688	0.0001876894	0.0001902726	0.000194635
-25.51758	0.0002882219	0.00029404	0.0003025404
-25.48828	0.0004397752	0.0004507043	0.0004654262
-25.45898	0.0006656493	0.0006841275	0.0007076722
-25.42969	0.0009981414	0.001027131	0.00106253
-25.40039	0.001481232	0.001524053	0.001574539
-25.37109	0.002173774	0.002233751	0.002302334
-25.3418	0.003153187	0.003233031	0.003321808
-25.3125	0.004519619	0.004620479	0.004729615
-25.2832	0.006400534	0.006520618	0.006646922
-25.25391	0.0089556	0.009088305	0.009223342
-25.22461	0.01238177	0.01251324	0.01264092
-25.19531	0.01691837	0.01702443	0.01711803
-25.16602	0.02285206	0.02289449	0.0229131
-25.13672	0.03052135	0.03044352	0.03032792
-25.10742	0.04032068	0.04004253	0.03971051
-25.07812	0.05270365	0.05211608	0.05145733
-25.04883	0.06818542	0.06714426	0.0660148
-25.01953	0.0873441	0.0856637	0.08388005
-24.99023	0.1108211	0.1082677	0.1056009
-24.96094	0.1393204	0.1356054	0.1317752
-24.93164	0.173607	0.1683804	0.163049
-24.90234	0.2145041	0.2073483	0.200115
-24.87305	0.2628902	0.2533138	0.2437098
-24.84375	0.3196951	0.3071281	0.2946111
-24.81445	0.385896	0.3696847	0.3536353
-24.78516	0.4625137	0.4419168	0.4216342
-24.75586	0.5506086	0.5247942	0.4994933
-24.72656	0.6512775	0.6193206	0.5881292
-24.69727	0.7656508	0.7265319	0.688489
-24.66797	0.8948903	0.8474948	0.8015492
