t	Tf1	Tf2	Tf3
0	1	1	1
0.010101	0.83145	0.73665	1
0.020202	0.67322	0.48941	0.99998
0.030303	0.52507	0.25796	0.99994
0.040404	0.38681	0.041959	0.99987
0.050505	0.25821	-0.1589	0.99974
0.060606	0.13908	-0.34495	0.99956
0.070707	0.0292	-0.51649	0.99932
0.080808	-0.071624	-0.67385	0.999
0.090909	-0.1636	-0.81734	0.9986
0.10101	-0.24694	-0.94728	0.99811
0.11111	-0.32184	-1.064	0.99752
0.12121	-0.38852	-1.1678	0.99684
0.13131	-0.44718	-1.259	0.99604
0.14141	-0.49804	-1.338	0.99514
0.15152	-0.54131	-1.405	0.99413
0.16162	-0.5772	-1.4604	0.993
0.17172	-0.60595	-1.5047	0.99175
0.18182	-0.62776	-1.538	0.99037
0.19192	-0.64287	-1.5607	0.98888
0.20202	-0.6515	-1.5733	0.98726
0.21212	-0.65387	-1.576	0.98552
0.22222	-0.65023	-1.5693	0.98366
0.23232	-0.64081	-1.5534	0.98167
0.24242	-0.62583	-1.5289	0.97956
0.25253	-0.60554	-1.4959	0.97734
0.26263	-0.58018	-1.455	0.97499
0.27273	-0.54998	-1.4064	0.97253
0.28283	-0.51519	-1.3506	0.96996
0.29293	-0.47605	-1.2879	0.96728
0.30303	-0.43279	-1.2188	0.96449
0.31313	-0.38566	-1.1435	0.9616
0.32323	-0.3349	-1.0625	0.95862
0.33333	-0.28075	-0.97617	0.95554
0.34343	-0.22345	-0.88485	0.95238
0.35354	-0.16323	-0.78894	0.94913
0.36364	-0.10034	-0.6888	0.9458
0.37374	-0.035002	-0.58479	0.94241
0.38384	0.032547	-0.4773	0.93894
0.39394	0.10208	-0.36668	0.93542
0.40404	0.17336	-0.25328	0.93184
0.41414	0.24617	-0.13747	0.92821
0.42424	0.32029	-0.0196	0.92454
0.43434	0.3955	0.099995	0.92083
0.44444	0.47158	0.22097	0.9171
0.45455	0.54831	0.34299	0.91334
0.46465	0.6255	0.46572	0.90956
0.47475	0.70294	0.58884	0.90577
0.48485	0.78042	0.71204	0.90197
0.49495	0.85774	0.83499	0.89818
0.50505	0.93472	0.9574	0.89439
0.51515	1.0112	1.079	0.89062
0.52525	1.0869	1.1994	0.88687
0.53535	1.1617	1.3183	0.88314
0.54545	1.2354	1.4356	0.87945
0.55556	1.3078	1.5509	0.87579
0.56566	1.3788	1.6638	0.87218
0.57576	1.4482	1.7743	0.86861
0.58586	1.5159	1.8819	0.8651
0.59596	1.5815	1.9865	0.86165
0.60606	1.6451	2.0877	0.85826
0.61616	1.7064	2.1854	0.85494
0.62626	1.7653	2.2792	0.85169
0.63636	1.8216	2.369	0.84852
0.64646	1.8752	2.4545	0.84544
0.65657	1.9259	2.5354	0.84244
0.66667	1.9736	2.6115	0.83953
0.67677	2.0181	2.6826	0.83671
0.68687	2.0593	2.7485	0.83399
0.69697	2.0969	2.8088	0.83137
0.70707	2.131	2.8634	0.82885
0.71717	2.1612	2.912	0.82644
0.72727	2.1875	2.9544	0.82413
0.73737	2.2098	2.9904	0.82193
0.74747	2.2277	3.0197	0.81984
0.75758	2.2413	3.042	0.81786
0.76768	2.2504	3.0572	0.816
0.77778	2.2547	3.0649	0.81424
0.78788	2.2541	3.065	0.8126
0.79798	2.2485	3.0571	0.81107
0.80808	2.2378	3.0411	0.80966
0.81818	2.2216	3.0165	0.80835
0.82828	2.1999	2.9833	0.80715
0.83838	2.1724	2.941	0.80606
0.84848	2.1391	2.8895	0.80508
0.85859	2.0997	2.8284	0.8042
0.86869	2.054	2.7574	0.80342
0.87879	2.0018	2.6763	0.80273
0.88889	1.943	2.5848	0.80214
0.89899	1.8774	2.4825	0.80163
0.90909	1.8047	2.3692	0.80121
0.91919	1.7248	2.2445	0.80086
0.92929	1.6374	2.1081	0.80059
0.93939	1.5424	1.9597	0.80038
0.94949	1.4395	1.7991	0.80022
0.9596	1.3285	1.6258	0.80011
0.9697	1.2093	1.4395	0.80005
0.9798	1.0816	1.24	0.80001
0.9899	0.94525	1.027	0.8
1	0.8	0.8	0.8
