t	Tf1	Tf2	Tf3	Tf4
0	1	1	1	1
0.010101	1	0.99715	0.99358	0.98859
0.020202	0.99998	0.99446	0.98755	0.97787
0.030303	0.99994	0.99191	0.98187	0.96781
0.040404	0.99986	0.9895	0.97653	0.95839
0.050505	0.99974	0.9872	0.97152	0.94957
0.060606	0.99956	0.985	0.96681	0.94134
0.070707	0.99931	0.9829	0.96239	0.93368
0.080808	0.99898	0.98088	0.95825	0.92656
0.090909	0.99858	0.97892	0.95436	0.91996
0.10101	0.99808	0.97703	0.95071	0.91387
0.11111	0.99749	0.97518	0.94729	0.90826
0.12121	0.99679	0.97337	0.94409	0.90311
0.13131	0.99599	0.97159	0.94109	0.8984
0.14141	0.99507	0.96984	0.93829	0.89412
0.15152	0.99404	0.9681	0.93566	0.89025
0.16162	0.9929	0.96637	0.9332	0.88677
0.17172	0.99163	0.96464	0.9309	0.88366
0.18182	0.99024	0.96291	0.92874	0.88092
0.19192	0.98872	0.96117	0.92673	0.87851
0.20202	0.98709	0.95942	0.92484	0.87642
0.21212	0.98532	0.95765	0.92306	0.87464
0.22222	0.98344	0.95587	0.9214	0.87316
0.23232	0.98142	0.95405	0.91984	0.87195
0.24242	0.97929	0.95222	0.91838	0.871
0.25253	0.97704	0.95035	0.917	0.8703
0.26263	0.97467	0.94846	0.9157	0.86983
0.27273	0.97218	0.94653	0.91447	0.86958
0.28283	0.96958	0.94457	0.91331	0.86954
0.29293	0.96687	0.94258	0.91221	0.86969
0.30303	0.96406	0.94055	0.91116	0.87001
0.31313	0.96114	0.93848	0.91016	0.8705
0.32323	0.95813	0.93639	0.9092	0.87114
0.33333	0.95503	0.93425	0.90828	0.87193
0.34343	0.95184	0.93209	0.9074	0.87284
0.35354	0.94857	0.92989	0.90655	0.87387
0.36364	0.94522	0.92766	0.90572	0.875
0.37374	0.9418	0.9254	0.90491	0.87622
0.38384	0.93831	0.92312	0.90413	0.87754
0.39394	0.93477	0.92081	0.90335	0.87892
0.40404	0.93117	0.91847	0.90259	0.88037
0.41414	0.92753	0.91611	0.90184	0.88187
0.42424	0.92384	0.91373	0.9011	0.88341
0.43434	0.92012	0.91134	0.90036	0.88499
0.44444	0.91637	0.90893	0.89962	0.8866
0.45455	0.9126	0.90651	0.89889	0.88822
0.46465	0.90882	0.90408	0.89815	0.88986
0.47475	0.90503	0.90164	0.89741	0.89149
0.48485	0.90123	0.8992	0.89667	0.89312
0.49495	0.89743	0.89676	0.89592	0.89474
0.50505	0.89365	0.89432	0.89516	0.89634
0.51515	0.88988	0.89189	0.8944	0.89791
0.52525	0.88614	0.88946	0.89362	0.89944
0.53535	0.88242	0.88705	0.89284	0.90094
0.54545	0.87873	0.88465	0.89204	0.90239
0.55556	0.87509	0.88226	0.89123	0.90379
0.56566	0.87149	0.8799	0.89041	0.90513
0.57576	0.86794	0.87755	0.88957	0.9064
0.58586	0.86444	0.87523	0.88872	0.9076
0.59596	0.86101	0.87294	0.88785	0.90873
0.60606	0.85764	0.87068	0.88697	0.90977
0.61616	0.85434	0.86844	0.88606	0.91073
0.62626	0.85112	0.86624	0.88514	0.91159
0.63636	0.84798	0.86407	0.88419	0.91235
0.64646	0.84491	0.86194	0.88322	0.91301
0.65657	0.84194	0.85984	0.88222	0.91355
0.66667	0.83906	0.85779	0.8812	0.91398
0.67677	0.83627	0.85577	0.88015	0.91428
0.68687	0.83357	0.85379	0.87907	0.91445
0.69697	0.83098	0.85185	0.87795	0.91448
0.70707	0.82848	0.84996	0.8768	0.91437
0.71717	0.8261	0.8481	0.8756	0.91411
0.72727	0.82381	0.84628	0.87436	0.91368
0.73737	0.82164	0.8445	0.87308	0.91309
0.74747	0.81958	0.84276	0.87174	0.91231
0.75758	0.81762	0.84106	0.87035	0.91136
0.76768	0.81578	0.83939	0.86889	0.91021
0.77778	0.81405	0.83775	0.86737	0.90885
0.78788	0.81243	0.83614	0.86578	0.90728
0.79798	0.81092	0.83456	0.86411	0.90548
0.80808	0.80952	0.833	0.86235	0.90344
0.81818	0.80823	0.83146	0.8605	0.90116
0.82828	0.80705	0.82994	0.85856	0.89861
0.83838	0.80598	0.82843	0.8565	0.89579
0.84848	0.80501	0.82693	0.85432	0.89268
0.85859	0.80414	0.82542	0.85202	0.88927
0.86869	0.80337	0.82391	0.84959	0.88554
0.87879	0.80269	0.82239	0.84701	0.88147
0.88889	0.80211	0.82085	0.84427	0.87706
0.89899	0.80161	0.81928	0.84136	0.87228
0.90909	0.80119	0.81767	0.83827	0.86711
0.91919	0.80085	0.81602	0.83499	0.86153
0.92929	0.80058	0.81432	0.83149	0.85554
0.93939	0.80037	0.81255	0.82778	0.8491
0.94949	0.80022	0.81071	0.82383	0.8422
0.9596	0.80011	0.80879	0.81963	0.83482
0.9697	0.80005	0.80677	0.81517	0.82693
0.9798	0.80001	0.80464	0.81042	0.81851
0.9899	0.8	0.80239	0.80537	0.80954
1	0.8	0.8	0.8	0.8
