tau	eff_sta	eff_tra	pow_sta	pow_tra	pow_ratio
0.02	0	0.5817249188	0	100444.4914	0
0.04	0	0.581747488	0	50224.24675	0
0.06	0	0.5817851004	0	33485.05438	0
0.08	0	0.5818377518	0	25116.12489	0
0.1	0	0.5819054362	0	20095.30036	0
0.12	0	0.5819881452	0	16748.52805	0
0.14	0.3136592609	0.5820858685	7558.51204	14358.35677	0.5264190157
0.16	0.48311562	0.5821985946	10297.21974	12566.06088	0.8194469085
0.18	0.5938841685	0.5823263102	11330.84175	11172.34833	1.014186223
0.2	0.6701260334	0.5824689997	11562.14525	10057.64384	1.149587859
0.22	0.7247984176	0.5826266461	11407.25976	9145.854047	1.247260202
0.24	0.7652423789	0.5827992307	11067.55712	8386.250002	1.319726591
0.26	0.7959572436	0.5829867326	10646.00443	7743.711639	1.3747935
0.28	0.8198086404	0.5831891297	10196.2548	7193.153184	1.417494461
0.3	0.8386949494	0.5834063981	9746.484919	6716.178378	1.451195065
0.32	0.8538914378	0.5836385121	9310.993348	6298.990011	1.478172426
0.34	0.866315514	0.5838854433	8896.991167	5931.037246	1.500073393
0.36	0.8766103731	0.5841471636	8507.369199	5604.113879	1.518057874
0.38	0.8852401068	0.584423642	8142.718414	5311.741302	1.532965924
0.4	0.8925618833	0.5847148456	7802.546756	5048.736613	1.545445396
0.42	0.8988372453	0.5850207406	7485.632587	4810.904122	1.555972099
0.44	0.9042680164	0.5853412913	7190.483165	4594.810975	1.564913814
0.46	0.9090104531	0.58567646	6915.504624	4397.621322	1.572555734
0.48	0.9131869029	0.5860262078	6659.110913	4216.971947	1.579121464
0.5	0.9168941496	0.5863904946	6419.782799	4050.877739	1.584788091
0.52	0.920209473	0.586769278	6196.097415	3897.658975	1.589697163
0.54	0.9231951111	0.5871625146	5986.740539	3755.884771	1.593962782
0.56	0.9259015848	0.5875701589	5790.508885	3624.328644	1.597677654
0.58	0.9283706312	0.5879921642	5606.30942	3501.933273	1.600918402
0.6	0.9306353469	0.5884284828	5433.142098	3387.782308	1.603745933
0.62	0.9327240331	0.5888790648	5270.107283	3281.077625	1.606212314
0.64	0.934660873	0.5893438587	5116.394023	3181.120857	1.608362038
0.66	0.9364651312	0.5898228128	4971.262375	3087.298285	1.610230666
0.68	0.9381533479	0.5903158726	4834.044626	2999.068382	1.611848751
0.7	0.9397397378	0.5908229829	4704.137103	2915.951501	1.613242573
0.72	0.9412356994	0.5913440869	4580.988879	2837.521286	1.614433309
0.74	0.9426514236	0.5918791266	4464.102501	2763.397466	1.615439891
0.76	0.943995981	0.5924280421	4353.027406	2693.239789	1.616279183
0.78	0.9452766132	0.5929907733	4247.350668	2626.742901	1.616964746
0.8	0.9464997444	0.5935672575	4146.696864	2563.631971	1.61750864
0.82	0.9476709309	0.5941574318	4050.723297	2503.658982	1.617921341
0.84	0.9487949944	0.5947612311	3959.116684	2446.599527	1.618211988
0.86	0.9498761329	0.5953785899	3871.590212	2392.250072	1.618388586
0.88	0.9509180096	0.5960094404	3787.880907	2340.425579	1.618458173
0.9	0.9519238319	0.5966537145	3707.747303	2290.957454	1.618426958
0.92	0.952896416	0.5973113429	3630.967369	2243.69176	1.618300443
0.94	0.9538383251	0.5979822545	3557.336971	2198.487656	1.618083668
0.96	0.9547514936	0.5986663773	3486.666606	2155.216032	1.617780563
0.98	0.955638112	0.5993636386	3418.783164	2113.758316	1.617395489
1	0.9564998148	0.6000739634	3353.525367	2074.005414	1.616931828
1.02	0.9573381318	0.6007972767	3290.744201	2035.856789	1.616392773
1.04	0.958154427	0.6015335021	3230.301534	1999.219632	1.615781219
1.06	0.9589499221	0.6022825621	3172.069165	1964.008133	1.615099811
1.08	0.9597257125	0.6030443781	3115.927963	1930.14284	1.614350969
1.1	0.9604827834	0.6038188702	3061.767095	1897.550069	1.613536921
1.12	0.9612220239	0.6046059577	3009.483331	1866.161401	1.612659725
1.14	0.9619442789	0.6054055592	2958.980542	1835.913214	1.611721359
1.16	0.9626501937	0.6062175916	2910.168605	1806.74627	1.610723461
1.18	0.9633404752	0.6070419716	2862.963697	1778.605345	1.609667768
1.2	0.964015729	0.6078786147	2817.287274	1751.438895	1.608555846
1.22	0.9646764779	0.6087274347	2773.065698	1725.198749	1.607389119
1.24	0.9653232936	0.6095883458	2730.230224	1699.839846	1.606169093
1.26	0.9659566104	0.6104612598	2688.716077	1675.31998	1.60489704
1.28	0.9665768597	0.6113460895	2648.462523	1651.599584	1.603574225
1.3	0.9671844404	0.6122427446	2609.412475	1628.641518	1.602201864
