g1	T1	g2	T2	g3	T3
0.01	1.8802	0.02	1.9667	0.01	0.5992
0.013311	1.8536	0.026622	1.9334	0.013311	0.5807
0.016622	1.827	0.033244	1.9068	0.016622	0.56485
0.019933	1.8003	0.039866	1.8802	0.019933	0.549
0.023244	1.7804	0.046488	1.8602	0.023244	0.53843
0.026555	1.7604	0.05311	1.8403	0.026555	0.52786
0.029866	1.7471	0.059732	1.827	0.029866	0.51729
0.033177	1.7271	0.066355	1.807	0.033177	0.50672
0.036488	1.7138	0.072977	1.7937	0.036488	0.4988
0.039799	1.7005	0.079599	1.7804	0.039799	0.49087
0.04311	1.6872	0.086221	1.7604	0.04311	0.48294
0.046421	1.6739	0.092843	1.7471	0.046421	0.47766
0.049732	1.6606	0.099465	1.7404	0.049732	0.46973
0.053043	1.6473	0.10609	1.7271	0.053043	0.46445
0.056355	1.6339	0.11271	1.7138	0.056355	0.45652
0.059666	1.6206	0.11933	1.7005	0.059666	0.45124
0.062977	1.614	0.12595	1.6872	0.062977	0.44595
0.066288	1.6007	0.13258	1.6805	0.066288	0.44067
0.069599	1.594	0.1392	1.6672	0.069599	0.43538
0.07291	1.5807	0.14582	1.6606	0.07291	0.4301
0.076221	1.574	0.15244	1.6473	0.076221	0.42482
0.079532	1.5607	0.15906	1.6406	0.079532	0.42217
0.082843	1.5541	0.16569	1.6273	0.082843	0.41689
0.086154	1.5408	0.17231	1.6206	0.086154	0.41161
0.089465	1.5341	0.17893	1.6073	0.089465	0.40896
0.092776	1.5275	0.18555	1.6007	0.092776	0.40368
0.096087	1.5141	0.19217	1.594	0.096087	0.39839
0.099398	1.5075	0.1988	1.5807	0.099398	0.39575
0.10271	1.5008	0.20542	1.574	0.10271	0.39047
0.10602	1.4942	0.21204	1.5674	0.10602	0.38783
0.10933	1.4809	0.21866	1.5607	0.10933	0.38518
0.11264	1.4742	0.22528	1.5474	0.11264	0.3799
0.11595	1.4676	0.23191	1.5408	0.11595	0.37726
