gf1	Tf1	gf2	Tf2
0.1	1.51	0.2	1.59
0.12	1.47	0.24	1.54
0.14	1.42	0.28	1.49
0.16	1.38	0.32	1.45
0.18	1.34	0.36	1.42
0.2	1.31	0.4	1.38
0.22	1.27	0.44	1.34
0.24	1.24	0.48	1.31
0.26	1.2	0.52	1.27
0.28	1.17	0.56	1.24
0.3	1.14	0.6	1.21
0.32	1.11	0.64	1.18
0.34	1.08	0.68	1.15
0.36	1.06	0.72	1.12
0.38	1.03	0.76	1.09
0.4	1	0.8	1.07
0.42	0.97	0.84	1.04
0.44	0.95	0.88	1.01
0.46	0.92	0.92	0.98
0.48	0.89	0.96	0.96
0.5	0.87	1	0.93
0.52	0.84	1.04	0.9
0.54	0.81	1.08	0.87
0.56	0.79	1.12	0.85
0.58	0.76	1.16	0.82
0.6	0.74	1.2	0.79
0.62	0.71	1.24	0.77
0.64	0.68	1.28	0.74
0.66	0.66	1.32	0.71
0.68	0.63	1.36	0.68
0.7	0.6	1.4	0.66
0.72	0.57	1.44	0.63
0.74	0.55	1.48	0.6
0.76	0.52	1.52	0.57
0.78	0.49	1.56	0.54
0.8	0.46	1.6	0.51
0.82	0.43	1.64	0.47
0.84	0.39	1.68	0.44
0.86	0.36	1.72	0.4
0.88	0.32	1.76	0.36
0.9	0.29	1.8	0.33
0.92	0.25	1.84	0.28
0.94	0.2	1.88	0.24
0.96	0.15	1.92	0.18
0.98	0.09	1.96	0.11
